Row No,Entity Name,Field Name,Description,API / CSV
1,ACQUISITIONS,acquiree_categories,"Keyword, sector, or industry",API & CSV
2,ACQUISITIONS,acquiree_funding_total,Total funding amount raised across all acquired organization's funding rounds,API & CSV
3,ACQUISITIONS,acquiree_identifier,Name of the acquired organization,API & CSV
4,ACQUISITIONS,acquiree_last_funding_type,"Last funding round type (e.g. Series A, Seed, Private Equity)",API & CSV
5,ACQUISITIONS,acquiree_locations,Where the acquired organization is headquartered,API & CSV
6,ACQUISITIONS,acquiree_num_funding_rounds,Acquired organization's total number of funding rounds,API & CSV
7,ACQUISITIONS,acquiree_revenue_range,Estimated revenue range for acquired organization,API & CSV
8,ACQUISITIONS,acquiree_short_description,"Text of acquired organization's description, industries, and industry groups",API & CSV
9,ACQUISITIONS,acquirer_categories,"Keyword, sector, or industry",API & CSV
10,ACQUISITIONS,acquirer_funding_stage,Acquiring organization's most recent funding status,API & CSV
11,ACQUISITIONS,acquirer_funding_total,Total funding amount raised across all acquiring organization's funding rounds,API & CSV
12,ACQUISITIONS,acquirer_identifier,Name of the acquiring organization,API & CSV
13,ACQUISITIONS,acquirer_locations,Where the organization is headquartered,API & CSV
14,ACQUISITIONS,acquirer_num_funding_rounds,Acquiring organization's total number of funding rounds,API & CSV
15,ACQUISITIONS,acquirer_revenue_range,Estimated revenue range for acquiring organization,API & CSV
16,ACQUISITIONS,acquirer_short_description,"Text of acquiring organization's description, industries, and industry groups",API & CSV
17,ACQUISITIONS,acquisition_type,Type of acquisition,API & CSV
18,ACQUISITIONS,announced_on,Date the acquisition was announced,API & CSV
19,ACQUISITIONS,completed_on,Date the Acquisition was completed,API & CSV
20,ACQUISITIONS,created_at,,API & CSV
21,ACQUISITIONS,disposition_of_acquired,How is the acquired Organization structured after the acquisition,API & CSV
22,ACQUISITIONS,entity_def_id,,API & CSV
23,ACQUISITIONS,facet_ids,,API & CSV
24,ACQUISITIONS,identifier,Auto-generated name of transaction (e.g. WhatsApp acquired by Facebook),API & CSV
25,ACQUISITIONS,permalink,,API & CSV
26,ACQUISITIONS,price,Price of the acquisition,API & CSV
27,ACQUISITIONS,rank,Algorithmic rank assigned to the top profiles on Crunchbase,API & CSV
28,ACQUISITIONS,rank_acquisition,"Algorithmic rank assigned to the top 100,000 most active Acquisitions",API & CSV
29,ACQUISITIONS,sentiment,Sentiment associated with acquisition,API & CSV
30,ACQUISITIONS,short_description,Short description of the Acquisition,API & CSV
31,ACQUISITIONS,status,Status of the acquisition,API & CSV
32,ACQUISITIONS,terms,Terms of the acquisition,API & CSV
33,ACQUISITIONS,updated_at,,API & CSV
34,ACQUISITIONS,uuid,,API & CSV
35,ACQUISITION_PREDICTIONS,created_at,Time of Creation,API & CSV
36,ACQUISITION_PREDICTIONS,entity_def_id,Entity Def Type,API & CSV
37,ACQUISITION_PREDICTIONS,example_acquisition,An example of a similar company in the same industry that was acquired in the last 6 months,API & CSV
38,ACQUISITION_PREDICTIONS,generated_on,Date on which this Acquisition Prediction was generated,API & CSV
39,ACQUISITION_PREDICTIONS,growth_insight,The Growth Insight linked to this Acquisition Prediction.,API & CSV
40,ACQUISITION_PREDICTIONS,identifier,Acquisition Prediction Title,API & CSV
41,ACQUISITION_PREDICTIONS,key_employee_change,"There has been a change to the executive team's composition (hire, departure, or promotion)",API & CSV
42,ACQUISITION_PREDICTIONS,key_leadership_hire,A new C-level Officer (CXO) was hired in the last 12 months,API & CSV
43,ACQUISITION_PREDICTIONS,organization,Unique identifier for the organization associated with this acquisition prediction,API & CSV
44,ACQUISITION_PREDICTIONS,partnership_announcement,A new strategic partnership occurred in the last 12 months,API & CSV
45,ACQUISITION_PREDICTIONS,probability_score,The predicted probability that this Organization will be acquired,API & CSV
46,ACQUISITION_PREDICTIONS,probability_score_timeseries,,API & CSV
47,ACQUISITION_PREDICTIONS,probability_tier,The predicted probability of this organization getting acquired is divided into distinct tiers that quantify the likelihood of this event.,API & CSV
48,ACQUISITION_PREDICTIONS,runway_speculation,"Approaching 18-24+ months since the last funding round, the need for capital may be more probable.",API & CSV
49,ACQUISITION_PREDICTIONS,updated_at,Time of Update,API & CSV
50,ACQUISITION_PREDICTIONS,uuid,UUID,API & CSV
51,ADDRESSES,country_code,Country Code,API & CSV
52,ADDRESSES,created_at,,API & CSV
53,ADDRESSES,entity_def_id,,API & CSV
54,ADDRESSES,headquartered_organization_identifier,Identifier of the organization that's headquartered on this address,API & CSV
55,ADDRESSES,identifier,"Descriptive name of the Address (e.g. Headquarters, London Office)",API & CSV
56,ADDRESSES,location_identifiers,"What city the address is located in (e.g. San Francisco, London, Kiev).",API & CSV
57,ADDRESSES,name,"Descriptive name of the Address (e.g. Headquarters, London Office)",API & CSV
58,ADDRESSES,opening_date,Date this location opened,API & CSV
59,ADDRESSES,opening_description,Summary of context regarding opening of this address,API & CSV
60,ADDRESSES,opening_press_reference_link,News article url mentioning the address opening,API & CSV
61,ADDRESSES,organization,Organization with an office or headquarters at this address,API & CSV
62,ADDRESSES,postal_code,The postal code of the address,API & CSV
63,ADDRESSES,region_code,Region Code,API & CSV
64,ADDRESSES,street_1,The street address of the location,API & CSV
65,ADDRESSES,street_2,The street address of the location,API & CSV
66,ADDRESSES,updated_at,,API & CSV
67,ADDRESSES,uuid,,API & CSV
68,AWARDS,created_at,,API & CSV
69,AWARDS,description,Award description,API & CSV
70,AWARDS,entity_def_id,Award,API & CSV
71,AWARDS,identifier,Award name,API & CSV
72,AWARDS,key_event_date,Date award presented or announced,API & CSV
73,AWARDS,name,Award name,API & CSV
74,AWARDS,organization,Organization that received the award,API & CSV
75,AWARDS,press_reference_link,News article mentioning award,API & CSV
76,AWARDS,sentiment,Sentiment associated with award,API & CSV
77,AWARDS,updated_at,Date entity was updated,API & CSV
78,AWARDS,uuid,Award entity UUID,API & CSV
79,CATEGORIES,category_groups,"Superset of Industries (e.g. Software, Mobile, Health Care)",API & CSV
80,CATEGORIES,created_at,,API & CSV
81,CATEGORIES,entity_def_id,,API & CSV
82,CATEGORIES,identifier,"Descriptive keyword for a Company (e.g. SaaS, Android, Cloud Computing, Medical Device)",API & CSV
83,CATEGORIES,naics_code,,API & CSV
84,CATEGORIES,name,Descriptive name of the Industry,API & CSV
85,CATEGORIES,updated_at,,API & CSV
86,CATEGORIES,uuid,,API & CSV
87,CATEGORY_GROUPS,categories,"Descriptive keyword for an Organization (e.g. SaaS, Android, Cloud Computing, Medical Device)",API & CSV
88,CATEGORY_GROUPS,created_at,,API & CSV
89,CATEGORY_GROUPS,entity_def_id,,API & CSV
90,CATEGORY_GROUPS,identifier,"Superset of Industries (e.g. Software, Mobile, Health Care)",API & CSV
91,CATEGORY_GROUPS,name,Descriptive name of the Industry Group,API & CSV
92,CATEGORY_GROUPS,updated_at,,API & CSV
93,CATEGORY_GROUPS,uuid,,API & CSV
94,CLOSURE_PREDICTIONS,addresses,,API & CSV
95,CLOSURE_PREDICTIONS,awards,,API & CSV
96,CLOSURE_PREDICTIONS,created_at,,API & CSV
97,CLOSURE_PREDICTIONS,entity_def_id,,API & CSV
98,CLOSURE_PREDICTIONS,generated_on,,API & CSV
99,CLOSURE_PREDICTIONS,growth_insights,,API & CSV
100,CLOSURE_PREDICTIONS,identifier,Closure Prediction identifier,API & CSV
101,CLOSURE_PREDICTIONS,key_employee_changes,,API & CSV
102,CLOSURE_PREDICTIONS,layoffs,,API & CSV
103,CLOSURE_PREDICTIONS,legal_proceedings,,API & CSV
104,CLOSURE_PREDICTIONS,media_sentiment,,API & CSV
105,CLOSURE_PREDICTIONS,organization,,API & CSV
106,CLOSURE_PREDICTIONS,partnership_announcements,,API & CSV
107,CLOSURE_PREDICTIONS,probability_score,,API & CSV
108,CLOSURE_PREDICTIONS,probability_score_timeseries,,API & CSV
109,CLOSURE_PREDICTIONS,probability_tier,The predicted probability of this organization closing is divided into distinct tiers that quantify the likelihood of this event.,API & CSV
110,CLOSURE_PREDICTIONS,product_launches,,API & CSV
111,CLOSURE_PREDICTIONS,updated_at,,API & CSV
112,CLOSURE_PREDICTIONS,uuid,,API & CSV
113,DEGREES,completed_on,Date when the degree is completed,API & CSV
114,DEGREES,created_at,,API & CSV
115,DEGREES,entity_def_id,,API & CSV
116,DEGREES,identifier,Name of the Degree,API & CSV
117,DEGREES,name,,API & CSV
118,DEGREES,person_identifier,The Person that received the Degree,API & CSV
119,DEGREES,school_identifier,The School that awarded the Degree,API & CSV
120,DEGREES,started_on,Date when the degree is started,API & CSV
121,DEGREES,subject,The subject or major that the person focused his/her degree on,API & CSV
122,DEGREES,type_name,The type of degree that the person received,API & CSV
123,DEGREES,updated_at,,API & CSV
124,DEGREES,uuid,,API & CSV
125,DIVERSITY_SPOTLIGHTS,created_at,,API & CSV
126,DIVERSITY_SPOTLIGHTS,entity_def_id,,API & CSV
127,DIVERSITY_SPOTLIGHTS,facet_ids,,API & CSV
128,DIVERSITY_SPOTLIGHTS,identifier,"Types of diversity represented in an organization, specifically of those who are founding members, currently the CEO, or have check-writing abilities in an investment firm. This feature is in beta and may change with future updates.",API & CSV
129,DIVERSITY_SPOTLIGHTS,name,"Types of diversity represented in an organization, specifically of those who are founding members, currently the CEO, or have check-writing abilities in an investment firm. This feature is in beta and may change with future updates.",API & CSV
130,DIVERSITY_SPOTLIGHTS,updated_at,,API & CSV
131,DIVERSITY_SPOTLIGHTS,uuid,,API & CSV
132,EVENTS,categories,"Descriptive keyword for a Company (e.g. SaaS, Android, Cloud Computing, Medical Device)",API & CSV
133,EVENTS,category_groups,"Superset of Industries (e.g. Software, Mobile, Health Care)",API & CSV
134,EVENTS,created_at,,API & CSV
135,EVENTS,description,Text from Event's description,API & CSV
136,EVENTS,ends_on,End date of the Event,API & CSV
137,EVENTS,entity_def_id,,API & CSV
138,EVENTS,event_type,"Type of Event (e.g. hackathon, meetup, conference)",API & CSV
139,EVENTS,event_url,Link to main Event page,API & CSV
140,EVENTS,facet_ids,,API & CSV
141,EVENTS,identifier,Name of the Event,API & CSV
142,EVENTS,image_id,The profile image of the event on Crunchbase,API & CSV
143,EVENTS,image_url,The url of the profile image,API & CSV
144,EVENTS,location_group_identifiers,"Regions of the Event (e.g. San Francisco Bay Area, Silicon Valley)",API & CSV
145,EVENTS,location_identifiers,"Location of the Event (e.g. Japan, San Francisco, Europe, Asia)",API & CSV
146,EVENTS,name,Event Name,API & CSV
147,EVENTS,num_contestants,Total number of Contestants at the Event,API & CSV
148,EVENTS,num_exhibitors,Total number of Exhibitors at the Event,API & CSV
149,EVENTS,num_organizers,Total number of Organizers at the Event,API & CSV
150,EVENTS,num_speakers,Total number of Speakers at the Event,API & CSV
151,EVENTS,num_sponsors,Total number of Sponsors for the Event,API & CSV
152,EVENTS,organizer_identifiers,The organizer of the Event,API & CSV
153,EVENTS,permalink,,API & CSV
154,EVENTS,permalink_aliases,These are the alternative aliases to the primary permalink of the Organization,API & CSV
155,EVENTS,rank,Algorithmic rank assigned to the top profiles on Crunchbase,API & CSV
156,EVENTS,rank_event,"Algorithmic rank assigned to the top 100,000 most active Events",API & CSV
157,EVENTS,registration_url,Link to the Event registration page,API & CSV
158,EVENTS,short_description,A short description of the Event,API & CSV
159,EVENTS,starts_on,Start date of the Event,API & CSV
160,EVENTS,updated_at,,API & CSV
161,EVENTS,uuid,,API & CSV
162,EVENTS,venue_name,Name of the Event venue,API & CSV
163,EVENT_APPEARANCES,categories,"Descriptive keyword for a Company (e.g. SaaS, Android, Cloud Computing, Medical Device)",API & CSV
164,EVENT_APPEARANCES,category_groups,"Superset of Industries (e.g. Software, Mobile, Health Care)",API & CSV
165,EVENT_APPEARANCES,created_at,,API & CSV
166,EVENT_APPEARANCES,description,Text from Event's description,API & CSV
167,EVENT_APPEARANCES,ends_on,End date of the Event,API & CSV
168,EVENT_APPEARANCES,event_type,"Type of Event (e.g. hackathon, meetup, conference)",API & CSV
169,EVENT_APPEARANCES,event_url,Link to main Event page,API & CSV
170,EVENT_APPEARANCES,identifier,Name of the Event,API & CSV
171,EVENT_APPEARANCES,image_url,The url of the profile image,API & CSV
172,EVENT_APPEARANCES,location_group_identifiers,"Regions of the Event (e.g. San Francisco Bay Area, Silicon Valley)",API & CSV
173,EVENT_APPEARANCES,location_identifiers,"Location of the Event (e.g. Japan, San Francisco, Europe, Asia)",API & CSV
174,EVENT_APPEARANCES,num_contestants,Total number of Contestants at the Event,API & CSV
175,EVENT_APPEARANCES,num_exhibitors,Total number of Exhibitors at the Event,API & CSV
176,EVENT_APPEARANCES,num_organizers,Total number of Organizers at the Event,API & CSV
177,EVENT_APPEARANCES,num_speakers,Total number of Speakers at the Event,API & CSV
178,EVENT_APPEARANCES,num_sponsors,Total number of Sponsors for the Event,API & CSV
179,EVENT_APPEARANCES,organizer_identifiers,The organizer of the Event,API & CSV
180,EVENT_APPEARANCES,permalink_aliases,These are the alternative aliases to the primary permalink of the Organization,API & CSV
181,EVENT_APPEARANCES,rank_event,"Algorithmic rank assigned to the top 100,000 most active Events",API & CSV
182,EVENT_APPEARANCES,registration_url,Link to the Event registration page,API & CSV
183,EVENT_APPEARANCES,short_description,A short description of the Event,API & CSV
184,EVENT_APPEARANCES,starts_on,Start date of the Event,API & CSV
185,EVENT_APPEARANCES,updated_at,,API & CSV
186,EVENT_APPEARANCES,venue_name,Name of the Event venue,API & CSV
187,EVENT_APPEARANCES,appearance_type,"Describe how an Organization or a Person is participating in an Event (e.g. Speaker, Sponsor, etc.)",API & CSV
188,EVENT_APPEARANCES,created_at,,API & CSV
189,EVENT_APPEARANCES,entity_def_id,,API & CSV
190,EVENT_APPEARANCES,event_identifier,Name of the Event,API & CSV
191,EVENT_APPEARANCES,event_location_identifiers,"Location of the Event (e.g. Japan, San Francisco, Europe, Asia)",API & CSV
192,EVENT_APPEARANCES,event_starts_on,Start date of the Event,API & CSV
193,EVENT_APPEARANCES,identifier,Name of the Event Appearance,API & CSV
194,EVENT_APPEARANCES,name,,API & CSV
195,EVENT_APPEARANCES,participant_identifier,The name of the participant in an Event,API & CSV
196,EVENT_APPEARANCES,permalink,,API & CSV
197,EVENT_APPEARANCES,short_description,A short description of how a person or an organization is participant in an Event,API & CSV
198,EVENT_APPEARANCES,updated_at,,API & CSV
199,EVENT_APPEARANCES,uuid,,API & CSV
200,FUNDS,announced_on,Date when a fund raised is announced,API & CSV
201,FUNDS,created_at,,API & CSV
202,FUNDS,entity_def_id,,API & CSV
203,FUNDS,facet_ids,,API & CSV
204,FUNDS,identifier,Name of the Fund,API & CSV
205,FUNDS,image_id,,API & CSV
206,FUNDS,investor_identifiers,,API & CSV
207,FUNDS,money_raised,Amount raised by the Fund,API & CSV
208,FUNDS,name,Name of the Fund,API & CSV
209,FUNDS,num_investors,Total number of investment firms and individual investors,API & CSV
210,FUNDS,owner_identifier,Name of the fund owner,API & CSV
211,FUNDS,permalink,,API & CSV
212,FUNDS,rank,Algorithmic rank assigned to the top profiles on Crunchbase,API & CSV
213,FUNDS,short_description,A short description of the Fund,API & CSV
214,FUNDS,started_on,Date when Fund Owner started invested the Fund,API & CSV
215,FUNDS,updated_at,,API & CSV
216,FUNDS,uuid,,API & CSV
217,FUNDING_PREDICTIONS,created_at,Time of Creation,API & CSV
218,FUNDING_PREDICTIONS,entity_def_id,Entity Def Type,API & CSV
219,FUNDING_PREDICTIONS,example_funding_round,An example of a similar company in the same industry that had a Funding Round in the last 6 months,API & CSV
220,FUNDING_PREDICTIONS,generated_on,Date on which this Funding Prediction was generated,API & CSV
221,FUNDING_PREDICTIONS,growth_insight,The Growth Insight linked to this Funding Prediction.,API & CSV
222,FUNDING_PREDICTIONS,identifier,Funding Prediction Title,API & CSV
223,FUNDING_PREDICTIONS,key_employee_change,"There has been a change to the executive team's composition (hire, departure, or promotion)",API & CSV
224,FUNDING_PREDICTIONS,key_leadership_hire,A new C-level Officer (CXO) was hired in the last 12 months,API & CSV
225,FUNDING_PREDICTIONS,organization,Unique identifier for the organization associated with this funding prediction,API & CSV
226,FUNDING_PREDICTIONS,partnership_announcement,A new strategic partnership occurred in the last 12 months,API & CSV
227,FUNDING_PREDICTIONS,probability_score,The predicted probability that this Organization will receive funding,API & CSV
228,FUNDING_PREDICTIONS,probability_score_timeseries,,API & CSV
229,FUNDING_PREDICTIONS,probability_tier,The predicted probability of this organization raising funds is divided into distinct tiers that quantify the likelihood of this event.,API & CSV
230,FUNDING_PREDICTIONS,product_launch,A new product or service was launched in the last 12 months,API & CSV
231,FUNDING_PREDICTIONS,runway_speculation,"Approaching 18-24+ months since the last funding round, the need for capital may be more probable.",API & CSV
232,FUNDING_PREDICTIONS,unicorn_status,Achieved unicorn status in the last 12 months,API & CSV
233,FUNDING_PREDICTIONS,updated_at,Time of Update,API & CSV
234,FUNDING_PREDICTIONS,uuid,UUID,API & CSV
235,FUNDING_ROUNDS,announced_on,Date that the Funding Round was publicly announced,API & CSV
236,FUNDING_ROUNDS,closed_on,Date that the Funding Round was closed,API & CSV
237,FUNDING_ROUNDS,created_at,,API & CSV
238,FUNDING_ROUNDS,entity_def_id,,API & CSV
239,FUNDING_ROUNDS,facet_ids,,API & CSV
240,FUNDING_ROUNDS,funded_organization_categories,Industries of the organization that got funded,API & CSV
241,FUNDING_ROUNDS,funded_organization_description,Description of the organization that got funded,API & CSV
242,FUNDING_ROUNDS,funded_organization_diversity_spotlights,"Types of diversity represented in an organization, specifically of those who are founding members, currently the CEO, or have check-writing abilities in an investment firm. This feature is in beta and may change with future updates.",API & CSV
243,FUNDING_ROUNDS,funded_organization_funding_stage,Organization's most recent funding status,API & CSV
244,FUNDING_ROUNDS,funded_organization_funding_total,Total funding amount raised across all Funding Rounds,API & CSV
245,FUNDING_ROUNDS,funded_organization_identifier,Name of the organization that got funded,API & CSV
246,FUNDING_ROUNDS,funded_organization_location,Location of the organization that got funded,API & CSV
247,FUNDING_ROUNDS,funded_organization_revenue_range,Revenue range of the organization that got funded,API & CSV
248,FUNDING_ROUNDS,identifier,Auto-generated name of transaction (e.g. Angel - Uber),API & CSV
249,FUNDING_ROUNDS,image_id,,API & CSV
250,FUNDING_ROUNDS,investment_stage,The funding stage of a funding round,API & CSV
251,FUNDING_ROUNDS,investment_type,"Type of Funding Round (e.g. Seed, Series A, Private Equity, Debt Financing)",API & CSV
252,FUNDING_ROUNDS,investor_identifiers,Names of all investors who invested in the funding round,API & CSV
253,FUNDING_ROUNDS,is_equity,This indicates whether the Funding Round is financed only through equity.,API & CSV
254,FUNDING_ROUNDS,lead_investor_identifiers,Name of the investor who led the investment in the funding round,API & CSV
255,FUNDING_ROUNDS,money_raised,Amount of money raised in Funding Round,API & CSV
256,FUNDING_ROUNDS,name,,API & CSV
257,FUNDING_ROUNDS,num_investors,Total number of Investors in a Funding Round,API & CSV
258,FUNDING_ROUNDS,num_partners,Total number of Partner Investors in a Funding Round,API & CSV
259,FUNDING_ROUNDS,permalink,,API & CSV
260,FUNDING_ROUNDS,post_money_valuation,Valuation of a Company after a Funding Round,API & CSV
261,FUNDING_ROUNDS,pre_money_valuation,Valuation of a Company prior to a Funding Round,API & CSV
262,FUNDING_ROUNDS,rank,Algorithmic rank assigned to the top profiles on Crunchbase,API & CSV
263,FUNDING_ROUNDS,rank_funding_round,"Algorithmic rank assigned to the top 100,000 most active Funding Rounds",API & CSV
264,FUNDING_ROUNDS,sentiment,Sentiment of news articles associated with a Funding Round,API & CSV
